drugname,reac,freq
ABILIFY,Feeling of despair,5
ABILIFY,Apathy,5
ABILIFY,Reduced facial expression,5
ABILIFY,Electric shock sensation,5
ABILIFY,Heart rate increased,5
ABILIFY,Hypoglycaemia,5
ABILIFY,Dyspnoea,4
ABILIFY,Product dose omission issue,4
ABILIFY,Inappropriate schedule of product administration,4
ABRILADA,Off label use,31
ABRILADA,Condition aggravated,18
ABRILADA,Fatigue,14
ABRILADA,Pain,11
ABRILADA,Inappropriate schedule of product administration,10
ABRILADA,Drug ineffective,8
ABRILADA,Injection site pain,7
ABRILADA,Malaise,7
ABRILADA,Arthralgia,7
ABRILADA,Diarrhoea,6
ABRILADA,Drug dose omission by device,6
ABRILADA,Pyrexia,6
ABRILADA,Haematochezia,6
ABRILADA,Nausea,6
ABRILADA,Product dose omission issue,5
ABRILADA,Insomnia,5
ABRILADA,Cough,5
ABRILADA,Asthenia,4
ABRILADA,Device difficult to use,4
ABRILADA,Therapeutic response shortened,4
ABRILADA,Stress,4
ABRILADA,COVID-19,4
ABRILADA,Injection site erythema,4
ABRILADA,Oropharyngeal pain,4
ABRILADA,Rectal haemorrhage,4
ABRILADA,Illness,4
ABRILADA,Weight increased,4
ABRILADA,Sensitivity to weather change,3
ABRILADA,Erythema,3
ABRILADA,Cellulitis,3
ABRILADA,Localised infection,3
ABRILADA,Injection site bruising,3
ABRILADA,Peripheral swelling,3
ABRILADA,Drug level decreased,3
ABRILADA,Constipation,3
ABRILADA,Maternal exposure during pregnancy,3
ABRILADA,Inflammation,3
ABRILADA,Injection site swelling,3
ABRILADA,Product dose omission in error,3
ABRILADA,Fistula,3
ABRILADA,Headache,3
ABRILADA,Anal fissure,3
ABRILADA,Influenza,3
ABRILADA,Back pain,3
ABRILADA,Dizziness,3
ABRILADA,Abdominal distension,2
ABRILADA,Flatulence,2
ABRILADA,Device defective,2
ABRILADA,Wrong technique in device usage process,2
ABRILADA,Wound,2
ACETAMINOPHEN,COVID-19,240
ACETAMINOPHEN,Fatigue,217
ACETAMINOPHEN,Sinusitis,204
ACETAMINOPHEN,Headache,192
ACETAMINOPHEN,Nausea,191
ACETAMINOPHEN,Off label use,191
ACETAMINOPHEN,Pyrexia,178
ACETAMINOPHEN,Pneumonia,173
ACETAMINOPHEN,Diarrhoea,170
ACETAMINOPHEN,Vomiting,170
ACETAMINOPHEN,Pain,165
ACETAMINOPHEN,Product dose omission issue,157
ACETAMINOPHEN,Urinary tract infection,143
ACETAMINOPHEN,Malaise,130
ACETAMINOPHEN,Fall,124
ACETAMINOPHEN,Dyspnoea,113
ACETAMINOPHEN,Arthralgia,106
ACETAMINOPHEN,Rash,101
ACETAMINOPHEN,Infusion related reaction,97
ACETAMINOPHEN,Back pain,97
ACETAMINOPHEN,Abdominal pain,97
ACETAMINOPHEN,Inappropriate schedule of product administration,97
ACETAMINOPHEN,Asthenia,94
ACETAMINOPHEN,Nasopharyngitis,94
ACETAMINOPHEN,Dizziness,94
ACETAMINOPHEN,Illness,86
ACETAMINOPHEN,Upper respiratory tract infection,85
ACETAMINOPHEN,Pruritus,84
ACETAMINOPHEN,Neutropenia,82
ACETAMINOPHEN,Infection,81
ACETAMINOPHEN,Pain in extremity,81
ACETAMINOPHEN,Anxiety,81
ACETAMINOPHEN,Cough,81
ACETAMINOPHEN,Weight decreased,76
ACETAMINOPHEN,Bronchitis,76
ACETAMINOPHEN,Influenza,76
ACETAMINOPHEN,Anaemia,72
ACETAMINOPHEN,Condition aggravated,71
ACETAMINOPHEN,Hepatic cytolysis,67
ACETAMINOPHEN,Sepsis,61
ACETAMINOPHEN,Weight increased,60
ACETAMINOPHEN,Blood pressure increased,59
ACETAMINOPHEN,Acute kidney injury,59
ACETAMINOPHEN,Product use issue,58
ACETAMINOPHEN,Drug ineffective,57
ACETAMINOPHEN,Chills,57
ACETAMINOPHEN,Respiratory tract infection,56
ACETAMINOPHEN,Febrile neutropenia,55
ACETAMINOPHEN,Gait disturbance,53
ACETAMINOPHEN,Hypotension,53
ACETAMINOPHEN\CODEINE PHOSPHATE,Nausea,17
ACETAMINOPHEN\CODEINE PHOSPHATE,Product use in unapproved indication,16
ACETAMINOPHEN\CODEINE PHOSPHATE,Anaemia,13
ACETAMINOPHEN\CODEINE PHOSPHATE,Diarrhoea,12
ACETAMINOPHEN\CODEINE PHOSPHATE,Dyspnoea,12
ACETAMINOPHEN\CODEINE PHOSPHATE,Off label use,11
ACETAMINOPHEN\CODEINE PHOSPHATE,Depression,11
ACETAMINOPHEN\CODEINE PHOSPHATE,Decreased appetite,11
ACETAMINOPHEN\CODEINE PHOSPHATE,Gait disturbance,10
ACETAMINOPHEN\CODEINE PHOSPHATE,Vomiting,10
ACETAMINOPHEN\CODEINE PHOSPHATE,Headache,10
ACETAMINOPHEN\CODEINE PHOSPHATE,Fatigue,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Asthenia,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Dehydration,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Dysphagia,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Constipation,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Death,9
ACETAMINOPHEN\CODEINE PHOSPHATE,Drug ineffective,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Pain,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Hypokalaemia,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Mouth ulceration,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Mucosal inflammation,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Productive cough,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Neutropenic sepsis,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Skin candida,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Hypomagnesaemia,8
ACETAMINOPHEN\CODEINE PHOSPHATE,Nervous system disorder,7
ACETAMINOPHEN\CODEINE PHOSPHATE,Balance disorder,7
ACETAMINOPHEN\CODEINE PHOSPHATE,Neutrophil count decreased,7
ACETAMINOPHEN\CODEINE PHOSPHATE,Rash,6
ACETAMINOPHEN\CODEINE PHOSPHATE,Lung disorder,6
ACETAMINOPHEN\CODEINE PHOSPHATE,Pneumonia,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Pyrexia,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Malaise,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Infection,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Drug hypersensitivity,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Confusional state,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Dizziness,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Candida infection,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Intentional product misuse,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Hallucination,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Dermatitis,5
ACETAMINOPHEN\CODEINE PHOSPHATE,Leukopenia,5
ACETAMINOPHEN\CODEINE PHOSPHATE,General physical health deterioration,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Arthropathy,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Weight decreased,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Condition aggravated,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Arthralgia,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Urinary tract infection,4
ACETAMINOPHEN\CODEINE PHOSPHATE,Inappropriate schedule of product administration,4
ACETAMINOPHEN\HYDROCODONE,Pain,29
ACETAMINOPHEN\HYDROCODONE,Fatigue,21
ACETAMINOPHEN\HYDROCODONE,Anxiety,20
ACETAMINOPHEN\HYDROCODONE,Headache,18
ACETAMINOPHEN\HYDROCODONE,Nausea,17
ACETAMINOPHEN\HYDROCODONE,COVID-19,16
ACETAMINOPHEN\HYDROCODONE,Fall,16
ACETAMINOPHEN\HYDROCODONE,Off label use,16
ACETAMINOPHEN\HYDROCODONE,Sinusitis,15
ACETAMINOPHEN\HYDROCODONE,Product dose omission issue,15
ACETAMINOPHEN\HYDROCODONE,Pneumonia,14
ACETAMINOPHEN\HYDROCODONE,Drug ineffective,14
ACETAMINOPHEN\HYDROCODONE,Diarrhoea,13
ACETAMINOPHEN\HYDROCODONE,Anhedonia,12
ACETAMINOPHEN\HYDROCODONE,Emotional distress,12
ACETAMINOPHEN\HYDROCODONE,Asthenia,12
ACETAMINOPHEN\HYDROCODONE,Dyspnoea,11
ACETAMINOPHEN\HYDROCODONE,Urinary tract infection,11
ACETAMINOPHEN\HYDROCODONE,Illness,11
ACETAMINOPHEN\HYDROCODONE,Vomiting,11
ACETAMINOPHEN\HYDROCODONE,Weight decreased,10
ACETAMINOPHEN\HYDROCODONE,Pruritus,10
ACETAMINOPHEN\HYDROCODONE,Back pain,9
ACETAMINOPHEN\HYDROCODONE,Depression,9
ACETAMINOPHEN\HYDROCODONE,Chronic kidney disease,8
ACETAMINOPHEN\HYDROCODONE,Arthralgia,8
ACETAMINOPHEN\HYDROCODONE,Decreased appetite,8
ACETAMINOPHEN\HYDROCODONE,Product use issue,8
ACETAMINOPHEN\HYDROCODONE,Insurance issue,8
ACETAMINOPHEN\HYDROCODONE,Pyrexia,8
ACETAMINOPHEN\HYDROCODONE,Blood pressure increased,8
ACETAMINOPHEN\HYDROCODONE,Feeling abnormal,8
ACETAMINOPHEN\HYDROCODONE,Multiple allergies,7
ACETAMINOPHEN\HYDROCODONE,Infection,7
ACETAMINOPHEN\HYDROCODONE,Ear infection,7
ACETAMINOPHEN\HYDROCODONE,Limb injury,7
ACETAMINOPHEN\HYDROCODONE,Alopecia,6
ACETAMINOPHEN\HYDROCODONE,Gait disturbance,6
ACETAMINOPHEN\HYDROCODONE,Bone density decreased,6
ACETAMINOPHEN\HYDROCODONE,Respiratory tract infection,6
ACETAMINOPHEN\HYDROCODONE,Asthma,6
ACETAMINOPHEN\HYDROCODONE,Contusion,6
ACETAMINOPHEN\HYDROCODONE,Inappropriate schedule of product administration,6
ACETAMINOPHEN\HYDROCODONE,Infusion site pain,6
ACETAMINOPHEN\HYDROCODONE,Malaise,6
ACETAMINOPHEN\HYDROCODONE,Drug hypersensitivity,6
ACETAMINOPHEN\HYDROCODONE,Rash,6
ACETAMINOPHEN\HYDROCODONE,Abdominal discomfort,6
ACETAMINOPHEN\HYDROCODONE,Insomnia,6
ACETAMINOPHEN\HYDROCODONE,Dizziness,6
ACYCLOVIR,Off label use,50
ACYCLOVIR,Febrile neutropenia,49
ACYCLOVIR,Pyrexia,43
ACYCLOVIR,Fatigue,42
ACYCLOVIR,Pneumonia,39
ACYCLOVIR,Diarrhoea,38
ACYCLOVIR,Neutropenia,38
ACYCLOVIR,Rash,30
ACYCLOVIR,Pain,28
ACYCLOVIR,Anxiety,26
ACYCLOVIR,COVID-19,25
ACYCLOVIR,Thrombocytopenia,24
ACYCLOVIR,Platelet count decreased,23
ACYCLOVIR,Vomiting,21
ACYCLOVIR,Nausea,20
ACYCLOVIR,Dyspnoea,20
ACYCLOVIR,Asthenia,20
ACYCLOVIR,Cytokine release syndrome,20
ACYCLOVIR,Fall,19
ACYCLOVIR,Anaemia,19
ACYCLOVIR,Decreased appetite,19
ACYCLOVIR,Emotional distress,18
ACYCLOVIR,Neutrophil count decreased,18
ACYCLOVIR,Sepsis,17
ACYCLOVIR,White blood cell count decreased,17
ACYCLOVIR,Anhedonia,16
ACYCLOVIR,Pancytopenia,16
ACYCLOVIR,Dizziness,15
ACYCLOVIR,Headache,15
ACYCLOVIR,Hypokalaemia,15
ACYCLOVIR,Insomnia,15
ACYCLOVIR,Depression,14
ACYCLOVIR,Plasma cell myeloma,14
ACYCLOVIR,Osteoporosis,14
ACYCLOVIR,Renal impairment,14
ACYCLOVIR,Osteopenia,13
ACYCLOVIR,Cough,13
ACYCLOVIR,Malaise,12
ACYCLOVIR,Back pain,12
ACYCLOVIR,Constipation,12
ACYCLOVIR,Leukopenia,12
ACYCLOVIR,General physical health deterioration,11
ACYCLOVIR,Acute kidney injury,11
ACYCLOVIR,Product dose omission issue,11
ACYCLOVIR,Dehydration,11
ACYCLOVIR,Death,10
ACYCLOVIR,Blood creatinine increased,10
ACYCLOVIR,Muscle spasms,10
ACYCLOVIR,Tremor,10
ACYCLOVIR,Septic shock,10
ADALIMUMAB,Off label use,16
ADALIMUMAB,Drug ineffective,16
ADALIMUMAB,Arthralgia,15
ADALIMUMAB,Dyspnoea,13
ADALIMUMAB,Condition aggravated,13
ADALIMUMAB,Rheumatoid arthritis,11
ADALIMUMAB,Fatigue,11
ADALIMUMAB,Drug intolerance,11
ADALIMUMAB,Diarrhoea,11
ADALIMUMAB,Rash,11
ADALIMUMAB,Pyrexia,11
ADALIMUMAB,Nausea,11
ADALIMUMAB,Therapeutic product effect decreased,10
ADALIMUMAB,Dizziness,10
ADALIMUMAB,Pain,10
ADALIMUMAB,Malaise,10
ADALIMUMAB,Respiratory failure,10
ADALIMUMAB,Musculoskeletal stiffness,9
ADALIMUMAB,Pneumonia,9
ADALIMUMAB,Musculoskeletal pain,8
ADALIMUMAB,Headache,8
ADALIMUMAB,Intentional product use issue,8
ADALIMUMAB,Joint swelling,8
ADALIMUMAB,Arthropathy,8
ADALIMUMAB,Weight decreased,8
ADALIMUMAB,Infection,8
ADALIMUMAB,Pain in extremity,8
ADALIMUMAB,Weight increased,7
ADALIMUMAB,Alopecia,7
ADALIMUMAB,Systemic lupus erythematosus,7
ADALIMUMAB,Contraindicated product administered,7
ADALIMUMAB,Synovitis,7
ADALIMUMAB,Inflammation,7
ADALIMUMAB,Nasopharyngitis,7
ADALIMUMAB,Loss of personal independence in daily activities,7
ADALIMUMAB,Drug hypersensitivity,7
ADALIMUMAB,Product use in unapproved indication,7
ADALIMUMAB,C-reactive protein increased,7
ADALIMUMAB,Psoriasis,7
ADALIMUMAB,Arthritis,7
ADALIMUMAB,Red blood cell sedimentation rate increased,7
ADALIMUMAB,Asthenia,6
ADALIMUMAB,Hand deformity,6
ADALIMUMAB,Hypersensitivity,6
ADALIMUMAB,Maternal exposure during pregnancy,6
ADALIMUMAB,Night sweats,6
ADALIMUMAB,Psoriatic arthropathy,6
ADALIMUMAB,Peripheral swelling,6
ADALIMUMAB,Vomiting,6
ADALIMUMAB,Mobility decreased,6
ADCIRCA,Diarrhoea,54
ADCIRCA,Headache,49
ADCIRCA,Nausea,28
ADCIRCA,Dyspnoea,27
ADCIRCA,Pulmonary arterial hypertension,24
ADCIRCA,Hypotension,23
ADCIRCA,Cardiac failure,22
ADCIRCA,Pyrexia,19
ADCIRCA,Cough,16
ADCIRCA,Pneumonia,15
ADCIRCA,Fatigue,13
ADCIRCA,Dizziness,13
ADCIRCA,Malaise,12
ADCIRCA,Anaemia,12
ADCIRCA,Off label use,12
ADCIRCA,Flushing,11
ADCIRCA,Brain natriuretic peptide increased,11
ADCIRCA,Fall,11
ADCIRCA,Vomiting,10
ADCIRCA,Right ventricular failure,10
ADCIRCA,Platelet count decreased,10
ADCIRCA,Chest pain,9
ADCIRCA,Pain in extremity,9
ADCIRCA,COVID-19,9
ADCIRCA,Pain in jaw,9
ADCIRCA,Infection,8
ADCIRCA,Palpitations,8
ADCIRCA,Rhinorrhoea,8
ADCIRCA,Complication associated with device,8
ADCIRCA,Oedema peripheral,8
ADCIRCA,Arthralgia,8
ADCIRCA,Feeling abnormal,7
ADCIRCA,Abdominal pain,7
ADCIRCA,Haemorrhage,7
ADCIRCA,Oxygen saturation decreased,7
ADCIRCA,Syncope,7
ADCIRCA,Pleural effusion,7
ADCIRCA,Respiratory failure,7
ADCIRCA,Oedema,7
ADCIRCA,Injection site erythema,6
ADCIRCA,Injection site pain,6
ADCIRCA,Illness,6
ADCIRCA,Abdominal pain upper,6
ADCIRCA,Device leakage,6
ADCIRCA,Weight increased,6
ADCIRCA,Nasopharyngitis,6
ADCIRCA,Dyspnoea exertional,6
ADCIRCA,Dehydration,6
ADCIRCA,Atrial fibrillation,6
ADCIRCA,Pulmonary hypertension,6
ADDERALL,Headache,12
ADDERALL,COVID-19,10
ADDERALL,Nausea,9
ADDERALL,Sinusitis,9
ADDERALL,Anxiety,8
ADDERALL,Product dose omission issue,8
ADDERALL,Nasopharyngitis,8
ADDERALL,Bronchitis,7
ADDERALL,Urinary tract infection,7
ADDERALL,Pneumonia,7
ADDERALL,Fatigue,7
ADDERALL,Arthritis,6
ADDERALL,Depression,6
ADDERALL,Off label use,6
ADDERALL,Vomiting,6
ADDERALL,Dyspnoea,6
ADDERALL,Migraine,6
ADDERALL,Condition aggravated,5
ADDERALL,Obstructive sleep apnoea syndrome,5
ADDERALL,Inappropriate schedule of product administration,5
ADDERALL,Malaise,5
ADDERALL,Dizziness,4
ADDERALL,Nephrolithiasis,4
ADDERALL,Memory impairment,4
ADDERALL,Feeling abnormal,4
ADDERALL,Hypertension,4
ADDERALL,Staphylococcal infection,4
ADDERALL,Weight increased,4
ADDERALL,Infusion site pruritus,4
ADDERALL,Illness,4
ADDERALL,Blister,4
ADDERALL,Infusion site pain,4
ADDERALL,Chest discomfort,4
ADDERALL,Product use in unapproved indication,4
ADDERALL,Erythema,4
ADDERALL,Complex regional pain syndrome,3
ADDERALL,Weight decreased,3
ADDERALL,Unevaluable event,3
ADDERALL,Blood pressure increased,3
ADDERALL,Abnormal behaviour,3
ADDERALL,Back pain,3
ADDERALL,Respiratory tract infection,3
ADDERALL,Infusion site swelling,3
ADDERALL,Influenza,3
ADDERALL,Viral infection,3
ADDERALL,Somnolence,3
ADDERALL,Dehydration,3
ADDERALL,Hypersensitivity,3
ADDERALL,Infection,3
ADDERALL,Dry mouth,3
ADEMPAS,Dyspnoea,53
ADEMPAS,Hypotension,45
ADEMPAS,Headache,41
ADEMPAS,Nausea,41
ADEMPAS,Diarrhoea,37
ADEMPAS,Death,34
ADEMPAS,Fatigue,32
ADEMPAS,Infusion site pain,24
ADEMPAS,Dizziness,23
ADEMPAS,Pneumonia,23
ADEMPAS,Fluid retention,22
ADEMPAS,Weight decreased,21
ADEMPAS,Vomiting,21
ADEMPAS,Pain,20
ADEMPAS,COVID-19,19
ADEMPAS,Malaise,18
ADEMPAS,Pain in extremity,18
ADEMPAS,Infusion site erythema,18
ADEMPAS,Peripheral swelling,17
ADEMPAS,Arthralgia,17
ADEMPAS,Oxygen saturation decreased,17
ADEMPAS,Cough,16
ADEMPAS,Asthenia,16
ADEMPAS,Weight increased,15
ADEMPAS,Chest pain,15
ADEMPAS,Oedema peripheral,14
ADEMPAS,Nasopharyngitis,14
ADEMPAS,Infection,13
ADEMPAS,Decreased appetite,13
ADEMPAS,Syncope,13
ADEMPAS,Pyrexia,12
ADEMPAS,Pulmonary hypertension,12
ADEMPAS,Epistaxis,12
ADEMPAS,Feeling abnormal,11
ADEMPAS,Pain in jaw,11
ADEMPAS,Dyspnoea exertional,11
ADEMPAS,Fall,11
ADEMPAS,Haemoptysis,11
ADEMPAS,Injection site pain,10
ADEMPAS,Cardiac failure,10
ADEMPAS,Productive cough,10
ADEMPAS,Abdominal pain,10
ADEMPAS,Dyspepsia,10
ADEMPAS,Pulmonary oedema,9
ADEMPAS,Anxiety,9
ADEMPAS,Hypervolaemia,9
ADEMPAS,Pulmonary arterial hypertension,9
ADEMPAS,Illness,9
ADEMPAS,Abdominal distension,9
ADEMPAS,Infusion site swelling,9
ADVAIR HFA,Pneumonia,34
ADVAIR HFA,Product dose omission issue,29
ADVAIR HFA,Headache,27
ADVAIR HFA,Nasopharyngitis,24
ADVAIR HFA,Dyspnoea,24
ADVAIR HFA,Asthma,24
ADVAIR HFA,Influenza,24
ADVAIR HFA,Fatigue,23
ADVAIR HFA,Cough,23
ADVAIR HFA,COVID-19,22
ADVAIR HFA,Sinusitis,21
ADVAIR HFA,Pain,20
ADVAIR HFA,Weight decreased,19
ADVAIR HFA,Pyrexia,19
ADVAIR HFA,Malaise,17
ADVAIR HFA,Weight increased,17
ADVAIR HFA,Respiratory tract infection,17
ADVAIR HFA,Illness,17
ADVAIR HFA,Arthralgia,16
ADVAIR HFA,Nausea,15
ADVAIR HFA,Blood pressure increased,15
ADVAIR HFA,Wheezing,15
ADVAIR HFA,Fall,15
ADVAIR HFA,Oropharyngeal pain,14
ADVAIR HFA,Inappropriate schedule of product administration,14
ADVAIR HFA,Urinary tract infection,14
ADVAIR HFA,Productive cough,12
ADVAIR HFA,Rash,11
ADVAIR HFA,Middle insomnia,10
ADVAIR HFA,Drug hypersensitivity,10
ADVAIR HFA,Chills,10
ADVAIR HFA,Anxiety,9
ADVAIR HFA,Upper respiratory tract infection,9
ADVAIR HFA,Infusion site pain,9
ADVAIR HFA,Seasonal allergy,8
ADVAIR HFA,Diarrhoea,8
ADVAIR HFA,Swelling,8
ADVAIR HFA,Gait disturbance,8
ADVAIR HFA,Condition aggravated,8
ADVAIR HFA,Rhinorrhoea,8
ADVAIR HFA,Infection,8
ADVAIR HFA,Anaphylactic reaction,7
ADVAIR HFA,Incorrect dose administered,7
ADVAIR HFA,Vomiting,7
ADVAIR HFA,Respiratory disorder,7
ADVAIR HFA,Bronchitis,7
ADVAIR HFA,Kidney infection,7
ADVAIR HFA,Gastroenteritis viral,7
ADVAIR HFA,Dysphonia,7
ADVAIR HFA,Nasal congestion,7
ADVATE,Haemorrhage,5
ADVATE,Haemarthrosis,4
ADVATE,Joint swelling,4
ADVATE,Arthralgia,4
ADVATE,Haematuria,4
ADVATE,Arthropathy,3
ADVATE,Fall,3
ADVATE,Joint injury,3
ADVATE,Generalised tonic-clonic seizure,3
ADVATE,Urine albumin/creatinine ratio increased,2
ADVATE,Haemophilic arthropathy,2
ADVATE,Mobility decreased,2
ADVATE,Soft tissue mass,2
ADVATE,Haemorrhage intracranial,2
ADVATE,Muscle haemorrhage,2
ADVATE,Limb injury,2
ADVATE,Head injury,2
ADVATE,Inflammation,2
ADVATE,Contusion,2
ADVATE,Pain,2
ADVATE,Renal cyst ruptured,2
ADVATE,Abdominal pain,2
ADVATE,Ligament rupture,1
ADVATE,Benign prostatic hyperplasia,1
ADVATE,Condition aggravated,1
ADVATE,Gingival bleeding,1
ADVATE,Asthenia,1
ADVATE,Loss of consciousness,1
ADVATE,Pallor,1
ADVATE,Vessel puncture site induration,1
ADVATE,Internal haemorrhage,1
ADVATE,Product impurity,1
ADVATE,Osteoarthritis,1
ADVATE,Henoch-Schonlein purpura,1
ADVATE,Humerus fracture,1
ADVATE,Suicide attempt,1
ADVATE,Major depression,1
ADVATE,Suicidal ideation,1
ADVATE,Strabismus,1
ADVATE,Wrist fracture,1
ADVATE,Poor venous access,1
ADVATE,COVID-19,1
ADVATE,Gait disturbance,1
ADVATE,Pain in extremity,1
ADVATE,Extra dose administered,1
ADVATE,Pyrexia,1
ADVATE,Swelling face,1
ADVATE,Skin laceration,1
ADVATE,Synovitis,1
ADVATE,Injury,1
ADVIL,COVID-19,14
ADVIL,Arthralgia,14
ADVIL,Pain,13
ADVIL,Vomiting,13
ADVIL,Headache,11
ADVIL,Fatigue,10
ADVIL,Inappropriate schedule of product administration,8
ADVIL,Hypertension,8
ADVIL,Nausea,8
ADVIL,Off label use,8
ADVIL,Product use issue,8
ADVIL,Fall,7
ADVIL,Sinusitis,7
ADVIL,Drug ineffective,7
ADVIL,Intentional product misuse,7
ADVIL,Chills,6
ADVIL,Product dose omission issue,6
ADVIL,Anxiety,6
ADVIL,Weight increased,6
ADVIL,Asthma,6
ADVIL,Abdominal pain,6
ADVIL,Back pain,5
ADVIL,Dyspnoea,5
ADVIL,Cough,5
ADVIL,Urinary tract infection,5
ADVIL,Weight decreased,5
ADVIL,Diarrhoea,5
ADVIL,Chest pain,5
ADVIL,Oedema peripheral,5
ADVIL,Prerenal failure,5
ADVIL,Dizziness,5
ADVIL,Asthenia,4
ADVIL,Bronchitis,4
ADVIL,Peripheral swelling,4
ADVIL,Pneumonia,4
ADVIL,Pruritus,4
ADVIL,Kidney infection,4
ADVIL,Cataract,4
ADVIL,Upper respiratory tract infection,4
ADVIL,Pain in extremity,4
ADVIL,Feeling abnormal,4
ADVIL,Wrong technique in product usage process,4
ADVIL,Anaemia,4
ADVIL,Insomnia,4
ADVIL,Disease recurrence,4
ADVIL,Decreased appetite,3
ADVIL,Illness,3
ADVIL,Rhinorrhoea,3
ADVIL,Pelvic fracture,3
